# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 21 16:43:42 2022
# diag: nrgsummary, run(s): 1-dat, time window: 0-1760.9161(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p02/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  2.8866E+02  1.5855E-01  3.4235E+00 -8.3456E-03
  2.8955E+02  1.5895E-01  3.4084E+00 -7.1324E-03
  2.9044E+02  1.5915E-01  3.4035E+00 -6.3314E-03
  2.9133E+02  1.5811E-01  3.4063E+00 -7.4822E-03
  2.9222E+02  1.5663E-01  3.4123E+00 -1.0307E-02
  2.9311E+02  1.5655E-01  3.4153E+00 -1.2364E-02
  2.9400E+02  1.5863E-01  3.4152E+00 -1.1489E-02
  2.9490E+02  1.6002E-01  3.4230E+00 -8.0751E-03
  2.9579E+02  1.6214E-01  3.4309E+00 -6.0124E-03
  2.9668E+02  1.6426E-01  3.4429E+00 -2.9070E-03
  2.9757E+02  1.6522E-01  3.4515E+00 -7.5062E-04
  2.9846E+02  1.6610E-01  3.4567E+00  1.5482E-03
  2.9935E+02  1.6492E-01  3.4582E+00  4.3164E-03
  3.0024E+02  1.6346E-01  3.4571E+00  3.8344E-03
  3.0113E+02  1.6555E-01  3.4600E+00  6.2258E-03
  3.0202E+02  1.6493E-01  3.4658E+00  8.0570E-03
  3.0291E+02  1.6396E-01  3.4705E+00  5.9551E-03
  3.0381E+02  1.6370E-01  3.4768E+00  1.1251E-03
  3.0470E+02  1.6297E-01  3.4900E+00 -2.9108E-03
  3.0559E+02  1.6327E-01  3.5006E+00 -7.5686E-03
  3.0648E+02  1.6329E-01  3.5097E+00 -1.2846E-02
  3.0737E+02  1.6462E-01  3.5181E+00 -1.9548E-02
  3.0823E+02  1.6709E-01  3.5283E+00 -2.4965E-02
  3.0911E+02  1.6901E-01  3.5449E+00 -2.5357E-02
  3.1002E+02  1.6946E-01  3.5659E+00 -2.4118E-02
  3.1093E+02  1.6974E-01  3.5843E+00 -2.2578E-02
  3.1185E+02  1.6841E-01  3.5889E+00 -1.8153E-02
  3.1276E+02  1.6626E-01  3.5843E+00 -1.4139E-02
  3.1367E+02  1.6600E-01  3.5781E+00 -1.2487E-02
  3.1458E+02  1.6737E-01  3.5728E+00 -1.3281E-02
  3.1549E+02  1.6786E-01  3.5743E+00 -1.3160E-02
  3.1640E+02  1.6759E-01  3.5713E+00 -1.1336E-02
  3.1731E+02  1.6722E-01  3.5638E+00 -9.8160E-03
  3.1822E+02  1.6517E-01  3.5580E+00 -6.9854E-03
  3.1913E+02  1.6344E-01  3.5558E+00 -2.1369E-03
  3.2004E+02  1.6237E-01  3.5453E+00 -1.0092E-03
  3.2095E+02  1.6214E-01  3.5319E+00 -8.0581E-04
  3.2186E+02  1.6145E-01  3.5146E+00 -2.9878E-04
  3.2277E+02  1.6235E-01  3.4982E+00  9.2241E-04
  3.2368E+02  1.6344E-01  3.4908E+00  3.5563E-04
  3.2459E+02  1.6244E-01  3.4913E+00 -2.2963E-04
  3.2550E+02  1.6022E-01  3.4932E+00 -3.7081E-03
  3.2641E+02  1.5954E-01  3.4974E+00 -6.8544E-03
  3.2732E+02  1.5766E-01  3.4986E+00 -7.8859E-03
  3.2823E+02  1.5704E-01  3.4955E+00 -8.5657E-03
  3.2914E+02  1.5700E-01  3.4852E+00 -9.4274E-03
  3.3005E+02  1.5831E-01  3.4801E+00 -8.0535E-03
  3.3096E+02  1.5892E-01  3.4674E+00 -5.0761E-03
  3.3187E+02  1.5904E-01  3.4531E+00 -2.0538E-03
  3.3278E+02  1.5849E-01  3.4393E+00  4.7405E-04
  3.3369E+02  1.5582E-01  3.4208E+00  3.9492E-03
  3.3460E+02  1.5363E-01  3.4063E+00  6.6987E-03
  3.3551E+02  1.5506E-01  3.3995E+00  9.0312E-03
  3.3642E+02  1.5514E-01  3.4001E+00  1.0383E-02
  3.3734E+02  1.5417E-01  3.4027E+00  1.1048E-02
  3.3825E+02  1.5444E-01  3.4074E+00  1.0611E-02
  3.3916E+02  1.5658E-01  3.4115E+00  8.5363E-03
  3.4007E+02  1.5538E-01  3.4047E+00  5.3718E-03
  3.4098E+02  1.5575E-01  3.3929E+00 -5.3543E-04
  3.4189E+02  1.5298E-01  3.3792E+00 -5.4864E-03
  3.4280E+02  1.4987E-01  3.3649E+00 -8.8886E-03
  3.4371E+02  1.4757E-01  3.3615E+00 -1.1013E-02
  3.4462E+02  1.4791E-01  3.3691E+00 -9.1544E-03
  3.4553E+02  1.4803E-01  3.3780E+00 -6.9723E-03
  3.4644E+02  1.4935E-01  3.3845E+00 -4.2014E-03
  3.4735E+02  1.4954E-01  3.3908E+00 -1.3122E-03
  3.4826E+02  1.4956E-01  3.3915E+00  1.1046E-03
  3.4917E+02  1.4871E-01  3.3813E+00  3.9180E-03
  3.5008E+02  1.4830E-01  3.3639E+00  8.0158E-03
